cart_id,product_id,quantity,created_at,modified_at,user_id,order_id
01GSTE4KS4TFGMWQEDR8YRBR4A,01GSTE4KS4H103V6P2RE3RGGB8,9,2022-06-17,2022-07-30,01GSTE4KS7EPP5M3CYG53634G5,01GSTE4KS7PCYJ764APYF4K4VP
01GSTE4KS8C1BA4HNWSTNR6BY9,01GSTE4KS9A5A4C46JQ9QR7MMM,79,2022-12-19,2022-09-02,01GSTE4KSCTSY3CSWGQR5AV36W,01GSTE4KSC4NQ0EQTNK8JYMVF6
01GSTE4KSDD18EXW1Q7AJPN0K0,01GSTE4KSEPZY910QX4Q0JDZTK,79,2022-02-07,2022-01-04,01GSTE4KSH7H02AYT6RB6CYK1C,01GSTE4KSH4JZRQWHCVPP2RQA8
01GSTE4KSJ7ZC1AXR10MFA8PQH,01GSTE4KSKDCWAANR21G0DR4WR,88,2022-02-26,2022-05-30,01GSTE4KSPG6CMXHN45YHFXX92,01GSTE4KSPYD5PA7G8VS69QZEV
01GSTE4KSQ5KNG44HN1PEASXWA,01GSTE4KSRRGSBD88CTEB5RJHM,25,2022-04-05,2022-11-10,01GSTE4KSVMZ4SYPSVKDD8Y61N,01GSTE4KSVB0FT9YXWBC1J65GB
01GSTE4KSWVBFK13W450WCP0ED,01GSTE4KSXE3YBC81DXN8RTACZ,51,2022-11-19,2022-03-09,01GSTE4KT05VFDWK70WP48NBPA,01GSTE4KT0W93KZ99BD0A1ZS41
01GSTE4KT1AVD4QE8GRRCAWK3B,01GSTE4KT2CWZY0B7H370ES3WG,27,2022-09-09,2022-02-17,01GSTE4KT4ZFTGHKQ87CGTGCRE,01GSTE4KT413Y5FGETETXZ717E
01GSTE4KT5866WH825R9JPSHYW,01GSTE4KT5KDJ22B92YW8ZE6QE,100,2022-07-03,2022-09-20,01GSTE4KT7K8PZAH2F513F74BV,01GSTE4KT8F0PYCXHGY07QV2H6
01GSTE4KT8Q5A2GS74AP8DXC1W,01GSTE4KT9YN7HXSKDAT66HF0S,90,2022-09-05,2022-05-27,01GSTE4KTAEG26Y3TK2C4RN6HN,01GSTE4KTAD3H9YMXRQQCPG1M9
01GSTE4KTAPHB2KQ07R8ZF781A,01GSTE4KTB3HXSTE9A46AS7MKT,81,2022-02-24,2022-09-09,01GSTE4KTDR4EGW4TBZ22KJFR9,01GSTE4KTDH60RABB9V14J76QD
01GSTE4KTE1V5SNF20AV744YBV,01GSTE4KTF4V3A7P0GTYD6XQAA,2,2022-12-02,2023-01-03,01GSTE4KTHGX0CAQX6KQ05P2A4,01GSTE4KTJ519WDRZR22X36525
01GSTE4KTJJT78WENRVTAR5PBV,01GSTE4KTJ5D9S0B2ME6NE2TK3,79,2022-02-23,2022-03-07,01GSTE4KTM46TQFP89HVQE6XC9,01GSTE4KTN968EEV7CKM3GXFJZ
01GSTE4KTN68Q51TBAPGAH1WKS,01GSTE4KTPCF9QV6CMWGKZ31VN,20,2022-05-26,2022-03-06,01GSTE4KTR2BX4FJWTKYM6TDK8,01GSTE4KTSY2GTB698HE1ZZMA8
01GSTE4KTTYR3J3PJHEA3QF5VB,01GSTE4KTT5JGSZ8H0T1ZRXK7S,37,2022-02-14,2022-07-29,01GSTE4KTWFX4E8PW6S7CFGVW6,01GSTE4KTX3XR6YXMYQEYDVCNX
01GSTE4KTY6WJ9BDAZXTHEBDX5,01GSTE4KTYBR73YNHSXM4BG475,12,2022-09-20,2022-10-21,01GSTE4KV017KTGBWR6G1YJ2FS,01GSTE4KV0NVA5FYP21FAGT5Q2
01GSTE4KV1FDVDK4CJC8MKTE1A,01GSTE4KV11QQ8HPK7DK94N0TD,72,2022-09-18,2022-03-23,01GSTE4KV2N6S25GJ38T2HT87B,01GSTE4KV2EWM891A2KCH130EZ
01GSTE4KV3VGBQXA5949DBDGAB,01GSTE4KV344P4WT15XT745SGP,9,2022-05-21,2022-03-13,01GSTE4KV4A0KGR4P9YGYH7F54,01GSTE4KV5B3VWVR4D4CG0G9M5
01GSTE4KV56RXGJS0E7JAFGYEQ,01GSTE4KV5K5X2VZKWMAV7517D,17,2022-01-21,2023-02-11,01GSTE4KV6YZYH2CM1XQRHCWRW,01GSTE4KV78GWADHY5KBEADKJV
01GSTE4KV80J59W0MYY90Q659Z,01GSTE4KV84KJ388SZN7E9JBV9,44,2022-09-08,2022-11-10,01GSTE4KVB2VS24SF288YPQAPT,01GSTE4KVBXFHC9BKWKCHNSKQX
01GSTE4KVC836MNFQWNVY85JKT,01GSTE4KVDMZZJT7M0MQ06MZSY,12,2022-04-01,2022-08-10,01GSTE4KVF79ZXW7M09Q1P1G0Y,01GSTE4KVFPEG3BW4SJ9YWWGS7
01GSTE4KVG77M4NEY2DMSBHY5S,01GSTE4KVGSY8H8G1EN44WPY9J,49,2022-06-13,2022-05-24,01GSTE4KVJ9SGTKE8XHGDVCGSJ,01GSTE4KVKBVCVSW9KBSPF04ER
01GSTE4KVK1AWT8DYV61F3TGFW,01GSTE4KVMWFHM1CPWXE5WZVMC,11,2022-11-20,2022-03-02,01GSTE4KVND7RFVMEPB5K63TCF,01GSTE4KVNMVETBGD3KPXYN3WD
01GSTE4KVPC7NJ15T9RFXFACD4,01GSTE4KVPVWZC9XSQZNNTGG4R,17,2023-01-29,2022-09-16,01GSTE4KVQMSB0FMSXZ7RTNWAJ,01GSTE4KVQBJTS82BM3XSVFP3P
01GSTE4KVRCDMSYVB24P0X1VDC,01GSTE4KVRD6A27FF0J2XF8N0K,20,2022-10-16,2022-10-18,01GSTE4KVSH0P71MNAEPASK46W,01GSTE4KVS45X7G5GZ4BHTMQ0S
01GSTE4KVT0FNTMA2RY70KQWQB,01GSTE4KVT8H60314Z80JC6AD5,28,2022-06-02,2022-10-10,01GSTE4KVV2CP9Q3HYQPBE4JG4,01GSTE4KVWG655BKEH47HKRSYP
01GSTE4KVW08GT6VAWN1T5D8TG,01GSTE4KVW8MS7JJ9HR2F6HYT5,50,2022-04-02,2022-05-04,01GSTE4KVXHHBQ20VRVNYACGCW,01GSTE4KVYY8T7AVC5A07D617B
01GSTE4KVYA1SVZCB88H42WCZD,01GSTE4KVYBXN6WQGRBAKSVRXA,100,2023-02-03,2022-04-22,01GSTE4KW0P6XKBFPZ60BWBVSR,01GSTE4KW033QX47HZ9YMYXE5T
01GSTE4KW0BB6AV2KVRERT4TCA,01GSTE4KW126GMYAG6F8QMRQQ4,93,2022-05-17,2022-01-15,01GSTE4KW3F8Q85QB26MSNQJP9,01GSTE4KW3QF7E9GE5G6RZCRD6
01GSTE4KW4E3R00W6PQ1J3P9HW,01GSTE4KW4MD2WRWHZ9CREBBRH,89,2023-01-28,2022-01-08,01GSTE4KW65C1R08G3VPQHEB31,01GSTE4KW64MJB8Y9CT7EYVXKT
01GSTE4KW7VYS95ZMGXKVQ21XF,01GSTE4KW7B8C7GG0M7BA9WGT3,74,2023-01-13,2022-02-01,01GSTE4KW9PN5W8AR6H2A3FMXJ,01GSTE4KW9QCN22MQECHBP7VY6
01GSTE4KWACT51JTMQ4NZN513P,01GSTE4KWAQP13QE7T72CK1HH6,7,2022-11-19,2022-11-06,01GSTE4KWBG8WRTKGTNSZ9G0HY,01GSTE4KWBHPRTHKFD0H098KX1
01GSTE4KWCNHER3RS678A9DK18,01GSTE4KWCS4JDHP4QZ5E65AMP,67,2022-11-27,2022-09-07,01GSTE4KWD1A1JY1WDN3Q7G3J9,01GSTE4KWEJA9RRMTVMEAGSPEZ
01GSTE4KWEVZZMPZEDAN304YHM,01GSTE4KWF04TQ335AQ7G043EC,1,2022-05-31,2022-09-24,01GSTE4KWHT9KVKVNR565X5FJR,01GSTE4KWH0MWN46BXYASDQTRH
01GSTE4KWJ59BVWS18ZCYNX063,01GSTE4KWJ0Y36B0C9E4ES70KZ,48,2022-10-12,2022-11-06,01GSTE4KWK3HVX1GX6T5XA576B,01GSTE4KWKK5PN80T4ZGH5EG6F
01GSTE4KWM2J9ZHQACQ0CB8K4J,01GSTE4KWM0XP2WQ8G7Z1PZNN6,71,2022-09-02,2022-08-15,01GSTE4KWNCY493D0810DJDKYH,01GSTE4KWP87ZB5T0A06G0SD88
01GSTE4KWPSQNB5XR1J7SFSDMR,01GSTE4KWPRFJKKZFCWKWDDYDX,65,2022-12-04,2022-04-23,01GSTE4KWRAHDXVPYGTJXSEQAV,01GSTE4KWR5JBXA2MEBB32BKKA
01GSTE4KWRJ192JR7AG1M7J80N,01GSTE4KWS9221PVTBNJNESJK5,33,2022-09-11,2022-06-30,01GSTE4KWTVVF9ACMWX15GZWFN,01GSTE4KWV3HQT3F53AV4GVBT4
01GSTE4KWW7KMAYYX6MKMM3MEQ,01GSTE4KWWZG8T7WW9XPT0AS6Z,4,2022-06-05,2022-08-28,01GSTE4KWY3BBESV8G4RQYWQ0G,01GSTE4KWYMKSAV2W66E2573WA
01GSTE4KWZ6W5HQTJZYZB7ADX0,01GSTE4KX0440JX2HPE3ZSQPSM,7,2022-12-14,2022-03-21,01GSTE4KX1C6EQAEVVMVG19AV3,01GSTE4KX1PK8SQRHY94S00WET
01GSTE4KX205VCAC3EEWHD97KK,01GSTE4KX282QKA68QDR9V8E1M,78,2022-04-22,2023-01-24,01GSTE4KX3ZW2XWQABGRPJZ23P,01GSTE4KX43118J8R5WT8KNQ7B
01GSTE4KX491QDQSXBN93HY52G,01GSTE4KX4QGFC3C01K5QZNE69,17,2022-09-28,2022-03-09,01GSTE4KX5YENH3YPZAT0705S6,01GSTE4KX6FBP1TW66CQZ9AEBR
01GSTE4KX6JH8F0XJWGY63RPY1,01GSTE4KX62TRJ9E8Q6R0G7AEY,57,2022-01-21,2022-07-13,01GSTE4KX72NJ5NR9MA9ZSCSXR,01GSTE4KX718DS64M1JSF1TA09
01GSTE4KX8G1PEYA12S17NHZ0W,01GSTE4KX8KHYDVF4ZVBB2V1XT,17,2023-01-09,2022-05-01,01GSTE4KX97FV7AXPYJ8KG7KR9,01GSTE4KXAXMM0SFDR8F419DKC
01GSTE4KXAD64YT6ED9FPSSC99,01GSTE4KXAHSR38PGXM02PXKXT,69,2023-01-12,2023-01-19,01GSTE4KXBTA9K9QR5ZJC9BVC5,01GSTE4KXCQ24FVBDK6G0WA1PV
01GSTE4KXCW7TD8XMB8EBRA1D0,01GSTE4KXCE5666SJPRMY9HCD9,53,2022-12-14,2022-02-23,01GSTE4KXE3AQ0BKZ8B54QXZDJ,01GSTE4KXEP4086M40C28GZPBE
01GSTE4KXEG7XNDRD7RE4G9GCG,01GSTE4KXFYHFTBCYX2HB501E3,94,2022-12-14,2022-10-25,01GSTE4KXGFAHBNE37TS6XKAHA,01GSTE4KXGCXK5CN5J1BDH8132
01GSTE4KXH149P6SYM7M4Y826S,01GSTE4KXHXYBTTQ56EXY918Y8,17,2022-08-01,2023-01-29,01GSTE4KXKW4BTGRGZD1JXCHVD,01GSTE4KXM52KSW36GGXVBMTZD
01GSTE4KXMTNS6K7K2KW9MR6KA,01GSTE4KXNS7HN0G8YBH49FZDX,91,2022-04-01,2022-08-22,01GSTE4KXQ7ZBVX6JKCV13VMXA,01GSTE4KXRV8HA5KXHKS7ST4GP
01GSTE4KXSV5JYS0XBM60P0G4H,01GSTE4KXSHE8MJFPG2GR5G1T8,3,2022-04-29,2022-05-15,01GSTE4KXVEXE35ZWWP9XFER3M,01GSTE4KXV7GXDE3DWVCPBGHAH
01GSTE4KXWG8T0CD55QGCYSYRH,01GSTE4KXX4TGWARZ4KXJYQ5NH,21,2022-10-29,2022-02-24,01GSTE4KXY6C39N01JQK3KG9FZ,01GSTE4KXZT2PY51685F6WEPG8
01GSTE4KY0YSM42V2Z6V8R3EHY,01GSTE4KY06MBGPDY766Y3CK77,28,2023-01-15,2022-03-29,01GSTE4KY29HGTSVS76X2P7BWH,01GSTE4KY3KCKCRYPY7Y7TNC5D
01GSTE4KY3W34ER9X2X501F6V3,01GSTE4KY3P56XAS277A80F5V8,32,2022-02-05,2022-02-01,01GSTE4KY5MR5HCKFZJAHSCME3,01GSTE4KY5G9FE8GQHZW3BPYRE
01GSTE4KY6TGTZ0EFM1372CX03,01GSTE4KY65XKWP9Q90B6MTQHC,100,2022-04-15,2022-09-19,01GSTE4KY86R90QBTKVDGK9A8A,01GSTE4KY8TN5NM2Z3HSSBZ6EX
01GSTE4KY8AFPYA74VAAQFK47K,01GSTE4KY9D806ST048H6QK5B1,47,2022-07-04,2022-12-17,01GSTE4KYAW6FJ8S678CVJ3VXQ,01GSTE4KYB8JWY1ZPXANJJK0AR
01GSTE4KYBNEKF93ARBPV0T80H,01GSTE4KYBEW5Q81NMBSVQ1T21,17,2022-10-17,2023-02-07,01GSTE4KYC25NXB1BJXGA7M5CJ,01GSTE4KYDZD89H64YM4W8ZZNW
01GSTE4KYD40ZPRJJ155GR5P0W,01GSTE4KYDTR9M0PFC8NY0AVM9,77,2022-05-14,2022-03-23,01GSTE4KYF7ANAYEMEYFAC3V4H,01GSTE4KYF4KN619B7ZJ5HEWAH
01GSTE4KYFQP7MVC5JPVJVSKVC,01GSTE4KYGHF6A9YPNVMR0YDXQ,3,2022-05-28,2022-06-30,01GSTE4KYH8VFDRZ0H8RMSQJV6,01GSTE4KYHF0FTY01FXC5S5AG5
01GSTE4KYH06PB3RN4XJX26FBW,01GSTE4KYJETS63EA47W59RMVH,89,2022-05-27,2022-09-02,01GSTE4KYKSCR1QRB8363474JW,01GSTE4KYK3PCGV1HM0V0QZRDJ
01GSTE4KYMRBHNDTVX8PWH0P59,01GSTE4KYN5HF0EQF9R0YMG38Z,42,2022-02-25,2022-08-14,01GSTE4KYP2RQADWE8SDP21MNF,01GSTE4KYP3VTDM4SY8J2P75VX
01GSTE4KYQRC3G384QKAESEJ6Z,01GSTE4KYQQNGDXR83CSX8XK66,21,2022-11-20,2022-03-26,01GSTE4KYSAK7EMWSV2HB6TSPT,01GSTE4KYSJTJZJHYQMQJZHGXD
01GSTE4KYSWMSAGHBX6BPKASX4,01GSTE4KYTGGQYT56JBFRD8Y2Q,13,2022-02-17,2022-02-04,01GSTE4KYV4EF120AQS7WB89GS,01GSTE4KYV77TZVMY6JW7PBCMA
01GSTE4KYVQXXTD2W2AGMDQF3Y,01GSTE4KYWA2VCW2BTD6J0PG9B,1,2022-08-26,2022-06-03,01GSTE4KYX987GD8BEY41EPRYH,01GSTE4KYXCYJD4KPS5ZC474JC
01GSTE4KYYDWTT9G0N5A72N5YH,01GSTE4KYYPQ0EY5P1HQZB52TS,29,2022-11-02,2022-03-03,01GSTE4KYZC21V49NJ9RMEA4AT,01GSTE4KYZ2FTWG5EEZZGF3MWW
01GSTE4KZ0AHSMP6Y4S4DX43DP,01GSTE4KZ1KC3K7HKBK1A8KB9D,41,2023-01-08,2022-11-29,01GSTE4KZ47A7Y5BGP0Z6EEDEA,01GSTE4KZ4GS2K3TMJ4EWRBDMY
01GSTE4KZ5CAAVTGFEB5T1Q1G4,01GSTE4KZ6P045Y6DJ68C708CD,24,2023-02-10,2022-05-01,01GSTE4KZ9XAR9TYSG3P1TNGQH,01GSTE4KZ91EEGJTRZ3EK1497X
01GSTE4KZAP23R4J1Q0K3Y4YJ1,01GSTE4KZA7JXT59SSVMECN2P4,37,2022-10-23,2022-03-19,01GSTE4KZCVFPF3XZ392XXTVM4,01GSTE4KZDX6BYRX5031MW60JR
01GSTE4KZDW25W21XPBA5C8NY4,01GSTE4KZE59QCBH016P8CFQPC,81,2022-11-07,2022-10-25,01GSTE4KZGXVR42PJ8P0ZH9ZFX,01GSTE4KZG3EQEZJK395J9Q3QJ
01GSTE4KZH2NF84SC5RKBK8K4Z,01GSTE4KZHEDZVSEYS340CVZJK,3,2022-03-15,2022-01-17,01GSTE4KZKMAF56ACBX583V05J,01GSTE4KZMK1H9K1TY2VX9A0X9
01GSTE4KZM2Y8F9A0BFB9REJAW,01GSTE4KZMNVCG4PG7B69WTA5V,24,2022-09-18,2022-04-21,01GSTE4KZP0BB2VVMXHA68E649,01GSTE4KZQ0XMZT96SG2TB85GA
01GSTE4KZQ16XYERH7Y8QY828S,01GSTE4KZRQ33WF61YHHWK15HN,57,2022-04-12,2022-05-28,01GSTE4KZT6R8TAGGE8863EAVJ,01GSTE4KZVW2G1QGGVBH5KES7N
01GSTE4KZVWA7EFCH43FWAR1C1,01GSTE4KZWYDZ59JGXFPAMDPEM,2,2022-09-02,2022-05-20,01GSTE4KZYRVTQ2EHRS3WBG6AV,01GSTE4KZY8V4VEAV4PAAHDY77
01GSTE4KZZRCTMKW44ADSEM8BF,01GSTE4M00T95N2QBJDK84NBJZ,64,2022-10-03,2022-01-31,01GSTE4M017CE2PQ1FRJZJK530,01GSTE4M02DRNG7FV7VHC683QV
01GSTE4M035YWMH8GNSX011WSE,01GSTE4M038D31DHNNJ6BDTG3V,11,2022-10-18,2022-05-04,01GSTE4M06K85D4AWZ07STGAXA,01GSTE4M0647X9Y45VSVGHQ80B
01GSTE4M07G8JDX7MP3J3RKWJN,01GSTE4M08ZNDSVA15T8DVACM5,2,2023-01-21,2022-08-03,01GSTE4M0AGN33QTT2HCP2P5PW,01GSTE4M0BEFSZ94HF37H81G6V
01GSTE4M0BBPVVZB53WS08NMN8,01GSTE4M0CN97BFK4VGHDZPPSY,43,2022-11-24,2022-07-06,01GSTE4M0EN1HQJAZ3XDETG7W4,01GSTE4M0E22XV3FYJR4Y4XQFG
01GSTE4M0FT6ZD8VRB9RN5YQ3B,01GSTE4M0FYAWRDXC6FYCPF74M,41,2022-09-20,2022-07-09,01GSTE4M0HRNRHHHTTQ3XKQ34G,01GSTE4M0H2W9AG3CPF0CRAG5D
01GSTE4M0J4AG4Z62EADY804JG,01GSTE4M0JHWAPPKAXMQ8NF9B4,53,2022-06-01,2022-01-31,01GSTE4M0M2Y7G7QN6Y5AK6GCP,01GSTE4M0N6H323KREYFPZQF9B
01GSTE4M0NCDHJXWRQV9PCPVV6,01GSTE4M0PDER28F0NYX2JY0FW,79,2022-04-27,2022-05-02,01GSTE4M0RC7B5VXZRWMVM328Z,01GSTE4M0RV9RQQHVFNF5W2DRF
01GSTE4M0SATQV4BMS12RDPP6G,01GSTE4M0SCGTD50SWP0T35MRR,88,2022-08-03,2022-02-18,01GSTE4M0V56A2KRCPV2YQ54RC,01GSTE4M0WSSHSW10VV48XP4K9
01GSTE4M0WJ4X67J2JCVQ9RDEQ,01GSTE4M0W0M2C5DAH228QHH7P,19,2022-02-20,2022-02-26,01GSTE4M0XFPQDJ3NQSMAWRQWK,01GSTE4M0Y2E4Z1Z780A735VEQ
01GSTE4M0Z336AE5V93HZJ9P3Z,01GSTE4M0ZETY51MBRBG0W63FG,78,2022-09-13,2022-04-16,01GSTE4M11RBPDARD2N7K6Z3B4,01GSTE4M124AWR756KM60BPZJN
01GSTE4M124VJY5BCHE845K4AG,01GSTE4M13TQ595424MH0BYK58,39,2022-08-19,2022-09-17,01GSTE4M15T1ZCGDW0KA5Y9MCE,01GSTE4M15XN3XMEAKG792KXYA
01GSTE4M16K98C952NCRD80SKH,01GSTE4M16C9S039B7KQPDH8S1,41,2023-01-20,2023-01-23,01GSTE4M19JRNJP8QZHPQ5F3HP,01GSTE4M192GFDC89VEXWHRQBY
01GSTE4M1AMT9N3C3990WAFWVQ,01GSTE4M1A3T387ST7J399CF3H,38,2022-07-21,2022-05-09,01GSTE4M1CRA06TMEQTAEYMWHB,01GSTE4M1D3EKJNYT6SDS8DY10
01GSTE4M1ECFCNM08TYMKDB4CD,01GSTE4M1E6H0VKXMA06F38AQ7,62,2022-11-05,2023-02-20,01GSTE4M1G7NX71QSVERZFNM3Q,01GSTE4M1HF0JYM0M2D1WEQ9QH
01GSTE4M1H5SD3JDB4ZZ9F5JYA,01GSTE4M1J5YB298JC33GAVJSB,65,2022-12-08,2022-12-10,01GSTE4M1MQ3TYAF2Q161WBQX7,01GSTE4M1MD2PM0D0ZD6HPZ1YK
